"CREATEDBYID","CREATEDDATE","DESCRIPTION","ID","ISACTIVE","ISARCHIVED","ISDELETED","ISSTANDARD","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","SYSTEMMODSTAMP"
"0058b00000GlQeMAAV","2023-03-10T20:36:45.000Z","","01s8b0000034bTbAAI","true","false","false","false","0058b00000GlQeMAAV","2023-03-10T20:36:45.000Z","","","Standard","2023-03-10T20:36:45.000Z"
"0058b00000GlQeMAAV","2023-03-10T20:36:45.000Z","","01s8b0000034bTcAAI","false","false","false","true","0058b00000GlQeMAAV","2023-03-10T20:36:45.000Z","2023-03-27T15:28:19.000Z","2023-03-27T15:28:19.000Z","Standard Price Book","2023-03-10T20:36:45.000Z"
